Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad,Hour,Day,Month
43.49,37.0,23936.86,195.69,Cross-group non-volatile secured line,25,0,9,2016-01-05 16:26:44,0,16,5,1
48.03,40.0,63394.41,221.98,Configurable tertiary capability,519,0,1,2016-07-13 16:12:24,1,16,13,7
49.42,45.0,69428.73,252.36,Synchronized systemic hierarchy,184,0,149,2016-04-06 11:24:21,0,11,6,4
53.92,28.0,70492.6,221.79,Managed zero tolerance concept,221,1,105,2016-03-17 05:00:12,0,5,17,3
73.1,26.0,56694.12,131.68,Configurable dynamic secured line,406,0,10,2016-05-15 13:18:34,0,13,15,5
54.08,31.0,56180.93,240.64,Balanced empowering success,197,1,41,2016-06-02 21:02:22,0,21,2,6
46.61,50.0,49957.0,122.31,Reverse-engineered maximized focus group,359,0,14,2016-04-04 18:36:59,1,18,4,4
34.3,34.0,34191.23,187.09,Cloned explicit middleware,367,1,50,2016-04-05 18:02:49,1,18,5,4
55.6,39.0,37334.78,209.91,Networked asymmetric infrastructure,5,1,121,2016-01-08 09:32:26,1,9,8,1
82.07,55.0,57868.44,187.76,Inverse high-level capability,136,1,136,2016-04-21 09:30:35,1,9,21,4
56.39,46.0,69646.35,198.5,Proactive actuating Graphical User Interface,415,1,86,2016-06-12 21:21:53,0,21,12,6
54.97,29.0,53431.35,217.1,Centralized 24hour synergy,59,1,191,2016-01-14 00:23:10,0,0,14,1
75.55,39.0,48335.2,258.62,Cloned object-oriented benchmark,506,0,118,2016-05-08 22:24:27,1,22,8,5
44.78,25.0,50506.44,241.03,Pre-emptive next generation Internet solution,117,1,195,2016-04-28 02:55:10,0,2,28,4
73.19,33.0,74535.94,120.75,Function-based incremental standardization,469,0,29,2016-01-14 09:27:59,0,9,14,1
54.88,50.0,39616.0,226.79,Focused coherent success,508,1,85,2016-04-03 21:13:46,1,21,3,4
55.6,36.0,18368.57,115.26,Total cohesive moratorium,509,1,125,2016-01-03 16:01:40,1,16,3,1
43.49,37.0,66187.58,190.17,Polarized analyzing concept,316,0,157,2016-02-10 19:20:51,1,19,10,2
74.59,42.0,60514.05,238.58,Innovative interactive portal,207,0,44,2016-04-06 11:24:21,1,11,6,4
43.49,37.0,53058.91,230.52,Centralized logistical secured line,103,0,41,2016-02-12 08:46:15,0,8,12,2
50.08,29.0,69718.19,120.06,Programmable uniform website,499,0,193,2016-01-05 16:26:44,0,16,5,1
50.08,40.0,57330.43,140.46,User-centric attitude-oriented adapter,475,0,28,2016-06-11 09:37:52,1,9,11,6
50.19,36.0,32549.95,141.52,Ameliorated actuating workforce,519,1,84,2016-01-03 16:01:40,1,16,3,1
73.93,33.0,43974.49,196.77,Multi-tiered foreground Graphic Interface,407,0,23,2016-05-12 21:32:06,1,21,12,5
39.3,29.0,53431.35,158.56,Mandatory coherent groupware,37,0,34,2016-01-14 00:23:10,0,0,14,1
55.6,54.0,53188.69,182.2,Virtual scalable secured line,477,0,169,2016-01-16 23:37:51,1,23,16,1
74.63,27.0,66815.54,214.42,Monitored dynamic instruction set,161,0,52,2016-07-18 01:36:37,0,1,18,7
83.97,41.0,57846.68,227.63,Fully-configurable foreground solution,483,1,187,2016-01-08 09:32:26,0,9,8,1
68.01,33.0,56782.18,227.37,Synchronized multi-tasking ability,328,1,9,2016-07-14 22:43:29,1,22,14,7
56.39,46.0,58966.22,253.48,Programmable uniform website,406,1,9,2016-01-18 02:51:13,0,2,18,1
80.3,37.0,23936.86,181.02,Cloned object-oriented benchmark,506,0,119,2016-05-08 22:24:27,1,22,8,5
61.22,36.0,50628.31,115.26,Robust web-enabled attitude,224,1,129,2016-06-20 08:22:09,0,8,20,6
47.74,32.0,69481.85,178.92,Business-focused transitional solution,234,1,174,2016-01-09 03:45:19,0,3,9,1
88.04,38.0,64564.07,206.98,Customizable homogeneous contingency,436,1,203,2016-01-15 19:40:47,1,19,15,1
59.59,34.0,59785.94,203.44,Function-based incremental standardization,284,0,188,2016-02-11 20:45:46,1,20,11,2
40.04,34.0,59785.94,160.03,Cloned explicit middleware,284,0,24,2016-04-27 04:28:17,1,4,27,4
33.33,25.0,50671.6,105.86,Up-sized maximized model,225,1,81,2016-07-08 17:14:01,0,17,8,7
89.05,49.0,64564.07,187.76,Reactive composite project,248,1,180,2016-06-24 08:42:20,1,8,24,6
84.0,36.0,70592.81,141.52,Proactive bandwidth-monitored policy,123,1,93,2016-06-20 08:22:09,0,8,20,6
52.68,32.0,69481.85,118.27,Stand-alone radical throughput,298,1,161,2016-04-06 21:20:07,1,21,6,4
75.84,45.0,70053.27,157.04,Function-based context-sensitive secured line,27,1,187,2016-07-17 01:13:56,1,1,17,7
81.59,45.0,45716.48,174.88,Secured 24hour policy,515,0,23,2016-06-30 00:19:33,1,0,30,6
59.05,50.0,43974.49,123.13,Function-based context-sensitive secured line,27,0,138,2016-06-03 03:36:18,1,3,3,6
86.06,35.0,51119.93,143.79,Total cohesive moratorium,185,1,119,2016-03-04 10:13:48,1,10,4,3
41.73,28.0,71222.4,204.79,Polarized bifurcated array,382,0,1,2016-03-20 02:44:13,0,2,20,3
40.47,35.0,25603.93,236.87,Optional multi-state hardware,516,0,192,2016-07-18 01:36:37,0,1,18,7
61.84,38.0,57868.44,170.13,Profit-focused dedicated utilization,436,0,98,2016-01-15 19:40:47,1,19,15,1
59.51,30.0,57877.15,219.94,Synchronized systemic hierarchy,184,0,149,2016-06-29 10:50:45,0,10,29,6
79.91,30.0,57877.15,111.94,De-engineered attitude-oriented projection,247,1,20,2016-03-18 13:00:12,0,13,18,3
39.3,29.0,53431.35,158.56,Vision-oriented attitude-oriented Internet solution,494,0,191,2016-02-03 19:12:51,1,19,3,2
44.4,32.0,55424.24,172.83,Assimilated fault-tolerant hub,184,0,96,2016-04-28 22:54:37,0,22,28,4
54.43,37.0,53058.91,258.62,Vision-oriented attitude-oriented Internet solution,506,0,191,2016-06-20 14:20:52,1,14,20,6
61.22,45.0,60315.19,137.24,Enhanced homogeneous moderator,515,1,176,2016-07-10 17:24:51,1,17,10,7
59.59,33.0,36752.24,115.35,Synergistic stable infrastructure,519,0,68,2016-05-12 21:32:06,1,21,12,5
79.6,23.0,62784.85,146.8,Team-oriented executive core,333,0,44,2016-01-14 14:00:09,1,14,14,1
37.0,32.0,55424.24,219.94,Focused upward-trending core,129,0,12,2016-04-28 22:54:37,0,22,28,4
55.6,35.0,54286.1,236.87,Multi-channeled attitude-oriented toolset,115,0,116,2016-06-20 14:20:52,1,14,20,6
40.04,23.0,25739.09,172.81,Centralized logistical secured line,333,0,62,2016-03-20 07:12:52,0,7,20,3
64.75,25.0,50506.44,176.28,Customizable multi-tasking website,461,0,98,2016-04-28 02:55:10,0,2,28,4
51.56,45.0,74903.41,124.67,Assimilated multi-state paradigm,515,0,176,2016-03-05 12:03:41,1,12,5,3
88.04,44.0,50723.67,120.63,Future-proofed fresh-thinking conglomeration,357,0,37,2016-03-01 22:06:37,0,22,1,3
70.58,28.0,72948.76,230.52,Intuitive exuding service-desk,506,0,34,2016-01-13 20:38:35,1,20,13,1
81.22,29.0,56113.37,216.49,Front-line heuristic data-warehouse,161,0,122,2016-01-12 03:28:31,0,3,12,1
79.54,25.0,50671.6,241.03,Integrated interactive support,169,1,95,2016-03-11 06:49:10,0,6,11,3
42.04,37.0,67132.46,201.58,Realigned global initiative,205,0,27,2016-01-08 22:47:10,0,22,8,1
82.07,41.0,57846.68,126.39,Robust uniform framework,484,0,25,2016-02-27 15:04:52,1,15,27,2
44.33,39.0,38067.08,124.44,Configurable logistical Graphical User Interface,316,0,163,2016-03-07 20:02:51,0,20,7,3
55.6,24.0,57691.95,182.2,Triple-buffered regional toolset,507,1,168,2016-07-12 10:56:21,0,10,12,7
65.59,39.0,59457.52,222.25,Multi-channeled scalable moratorium,363,1,172,2016-01-03 16:01:40,0,16,3,1
57.99,49.0,45632.51,168.34,Up-sized bi-directional infrastructure,333,1,12,2016-03-11 00:05:48,0,0,11,3
52.68,35.0,25603.93,236.87,Programmable asymmetric data-warehouse,306,0,81,2016-07-18 01:36:37,0,1,18,7
50.08,40.0,73882.91,132.63,Synergized coherent interface,348,1,80,2016-06-20 08:22:09,0,8,20,6
65.07,34.0,59785.94,160.03,Cloned explicit middleware,182,0,188,2016-04-05 18:02:49,1,18,5,4
80.3,52.0,33951.63,130.86,Devolved regional moderator,421,1,42,2016-06-16 02:01:24,1,2,16,6
70.44,34.0,59785.94,160.03,Cloned explicit middleware,284,0,24,2016-02-20 09:54:06,1,9,20,2
70.39,27.0,39193.45,203.9,Virtual impactful algorithm,167,1,52,2016-03-23 21:06:51,0,21,23,3
72.23,40.0,41232.89,120.37,Vision-oriented real-time framework,399,0,29,2016-05-02 07:00:58,0,7,2,5
50.08,36.0,29398.61,140.46,Multi-layered fresh-thinking neural-net,475,0,122,2016-07-06 05:34:52,0,5,6,7
42.04,37.0,53058.91,181.02,Profound dynamic attitude,85,0,17,2016-02-10 19:20:51,0,19,10,2
79.52,38.0,64564.07,122.04,Synergized clear-thinking protocol,436,1,203,2016-02-13 07:53:55,1,7,13,2
78.7,32.0,55424.24,172.83,Focused upward-trending core,129,0,82,2016-06-09 21:43:05,1,21,9,6
51.24,36.0,29398.61,141.52,Up-sized incremental encryption,180,0,191,2016-03-12 07:18:36,1,7,12,3
79.52,41.0,57846.68,259.76,Face-to-face even-keeled website,306,0,81,2016-07-05 20:16:13,0,20,5,7
70.39,54.0,73049.3,117.33,Front-line bandwidth-monitored capacity,487,1,103,2016-01-01 05:31:22,1,5,1,1
66.08,33.0,77988.71,215.18,Stand-alone well-modulated product,469,0,84,2016-06-17 20:18:27,0,20,17,6
61.22,31.0,56180.93,207.17,Focused 3rdgeneration pricing structure,344,0,166,2016-07-11 09:32:53,0,9,11,7
67.56,28.0,71222.4,204.79,Intuitive exuding service-desk,149,0,41,2016-05-06 21:07:31,0,21,6,5
83.71,38.0,57868.44,130.83,Customizable homogeneous contingency,436,1,203,2016-02-13 07:53:55,1,7,13,2
72.23,33.0,57868.44,191.82,Integrated leadingedge frame,439,1,172,2016-02-06 17:48:28,1,17,6,2
80.3,49.0,45632.51,113.8,Streamlined homogeneous analyzer,464,0,51,2016-04-27 04:28:17,1,4,27,4
86.06,35.0,25603.93,109.07,Optional multi-state hardware,117,0,1,2016-06-29 02:48:44,1,2,29,6
70.58,31.0,58235.21,207.17,Programmable uniform website,269,0,189,2016-02-26 22:46:43,0,22,26,2
54.97,33.0,55984.89,204.27,Compatible composite project,328,1,0,2016-07-14 22:43:29,1,22,14,7
55.6,39.0,38067.08,258.62,Vision-oriented attitude-oriented Internet solution,93,0,116,2016-02-12 08:46:15,1,8,12,2
79.54,25.0,50506.44,241.03,Focused 24hour implementation,414,1,64,2016-03-18 13:00:12,0,13,18,3
43.49,37.0,23936.86,181.02,Profound dynamic attitude,205,0,27,2016-01-08 22:47:10,0,22,8,1
56.39,40.0,62669.59,117.3,Pre-emptive content-based frame,209,1,53,2016-03-23 06:00:15,1,6,23,3
76.77,36.0,29398.61,222.25,Intuitive exuding service-desk,105,0,33,2016-02-26 19:48:23,0,19,26,2
40.47,27.0,14548.06,190.17,User-friendly upward-trending intranet,267,0,146,2016-02-10 19:20:51,1,19,10,2
78.36,34.0,40183.75,160.03,Cloned explicit middleware,182,0,188,2016-03-11 00:05:48,0,0,11,3
43.49,37.0,61172.07,181.02,Cross-group non-volatile secured line,260,1,119,2016-03-23 21:06:51,0,21,23,3
40.04,34.0,20592.99,168.34,Cloned explicit middleware,188,0,188,2016-03-11 00:05:48,0,0,11,3
59.36,38.0,39031.89,195.69,Cross-group non-volatile secured line,464,0,27,2016-04-04 20:01:12,0,20,4,4
40.04,23.0,40135.06,222.87,Centralized logistical secured line,333,0,44,2016-01-14 14:00:09,1,14,14,1
41.73,28.0,51501.38,120.49,Organized global flexibility,260,1,105,2016-04-08 22:40:55,0,22,8,4
66.12,28.0,59448.44,230.52,Intuitive exuding service-desk,506,0,103,2016-06-20 14:20:52,1,14,20,6
84.73,36.0,76003.47,140.46,Total 5thgeneration standardization,474,0,75,2016-05-13 14:12:39,1,14,13,5
43.6,39.0,75044.35,236.87,Business-focused real-time toolset,306,0,156,2016-05-12 04:35:59,0,4,12,5
42.04,37.0,53058.91,129.31,Centralized logistical secured line,464,0,9,2016-06-05 07:54:30,1,7,5,6
51.24,36.0,61610.05,124.44,Up-sized incremental encryption,272,0,49,2016-01-03 16:01:40,1,16,3,1
71.84,39.0,37334.78,190.75,Managed zero tolerance concept,91,1,3,2016-07-08 03:47:41,0,3,8,7
84.73,26.0,60997.84,131.68,Decentralized client-driven data-warehouse,406,0,1,2016-05-24 13:30:38,1,13,24,5
43.49,37.0,75180.2,181.02,Vision-oriented attitude-oriented Internet solution,205,0,9,2016-02-10 19:20:51,1,19,10,2
70.92,31.0,27262.51,217.37,User-friendly bandwidth-monitored attitude,149,0,44,2016-05-06 21:07:31,1,21,6,5
80.3,37.0,67132.46,177.55,Vision-oriented attitude-oriented Internet solution,105,0,27,2016-07-13 21:31:14,0,21,13,7
52.68,32.0,55424.24,178.92,Front-line fresh-thinking open system,338,1,61,2016-01-18 02:51:13,0,2,18,1
69.77,35.0,66541.05,226.54,Optional multi-state hardware,345,1,81,2016-06-29 13:35:05,0,13,29,6
80.47,33.0,52736.33,113.12,Adaptive contextually-based methodology,418,1,200,2016-03-24 06:36:52,0,6,24,3
72.55,31.0,66348.95,124.44,Exclusive disintermediate task-force,269,0,117,2016-06-29 13:35:05,0,13,29,6
51.87,49.0,39031.89,195.69,Managed client-server access,281,1,0,2016-04-05 18:02:49,1,18,5,4
81.98,22.0,63430.33,136.21,Customizable modular Internet solution,473,0,197,2016-01-29 07:14:04,0,7,29,1
40.17,26.0,63430.33,140.46,Progressive clear-thinking open architecture,461,0,193,2016-03-08 18:00:43,0,18,8,3
65.65,41.0,39799.73,156.48,De-engineered attitude-oriented projection,161,0,149,2016-01-05 20:58:42,0,20,5,1
56.16,33.0,43974.49,196.77,Expanded modular application,519,0,82,2016-02-27 20:20:25,1,20,27,2
47.74,40.0,73882.91,221.98,Synergized coherent interface,415,1,80,2016-06-20 08:22:09,0,8,20,6
78.79,36.0,73882.91,214.33,Front-line bandwidth-monitored capacity,123,1,162,2016-06-20 08:22:09,0,8,20,6
51.56,27.0,14548.06,193.29,Virtual impactful algorithm,76,1,47,2016-03-19 11:09:36,0,11,19,3
56.39,19.0,58966.22,163.0,Persistent homogeneous framework,418,1,172,2016-02-03 15:15:42,0,15,3,2
82.07,35.0,50723.67,259.76,Multi-layered fresh-thinking neural-net,64,0,5,2016-04-01 16:21:05,0,16,1,4
43.49,37.0,23936.86,109.29,Multi-channeled scalable moratorium,260,1,103,2016-06-20 14:20:52,1,14,20,6
56.16,26.0,53336.76,131.68,Synergized coherent interface,75,1,107,2016-01-08 19:38:45,0,19,8,1
41.73,28.0,32252.38,217.37,Sharable reciprocal project,149,0,62,2016-05-04 12:06:18,0,12,4,5
59.51,32.0,55424.24,172.83,Cross-platform logistical pricing structure,379,1,20,2016-05-08 10:25:08,0,10,8,5
78.7,46.0,33951.63,221.98,Front-line system-worthy flexibility,7,1,176,2016-05-15 18:44:50,1,18,15,5
47.74,36.0,50628.31,126.39,Managed zero tolerance concept,76,1,187,2016-05-31 23:42:26,1,23,31,5
55.6,35.0,73889.99,225.58,Robust uniform framework,345,1,61,2016-01-26 02:47:17,1,2,26,1
75.15,33.0,46868.53,204.02,Focused coherent success,279,1,200,2016-03-02 04:02:45,0,4,2,3
82.79,35.0,73889.99,226.54,Polarized modular function,510,1,119,2016-02-11 16:45:41,1,16,11,2
49.21,30.0,58677.69,172.83,Synchronized systemic hierarchy,184,0,201,2016-05-08 10:25:08,0,10,8,5
56.39,19.0,40468.53,193.29,Configurable tertiary capability,63,0,52,2016-02-28 23:10:32,1,23,28,2
79.52,25.0,50671.6,241.03,Reactive demand-driven strategy,331,0,118,2016-06-10 00:35:15,1,0,10,6
75.71,51.0,41547.62,111.94,Extended context-sensitive monitoring,411,1,155,2016-05-08 10:25:08,0,10,8,5
83.71,44.0,64564.07,187.76,Exclusive even-keeled moratorium,436,0,137,2016-04-21 19:56:24,1,19,21,4
47.48,27.0,66815.54,120.75,Front-line bandwidth-monitored capacity,161,0,192,2016-05-21 01:36:16,0,1,21,5
86.06,32.0,55424.24,178.92,Business-focused transitional solution,234,1,66,2016-03-31 20:55:22,0,20,31,3
33.33,45.0,74903.41,174.88,Secured 24hour policy,112,0,178,2016-03-05 12:03:41,1,12,5,3
81.98,22.0,52340.1,128.62,Open-source stable paradigm,339,0,158,2016-07-05 22:33:48,0,22,5,7
68.88,42.0,60514.05,236.87,Innovative interactive portal,136,0,44,2016-04-06 11:24:21,1,11,6,4
55.6,35.0,42993.48,221.18,Total cohesive moratorium,172,1,116,2016-03-18 13:22:35,1,13,18,3
84.98,24.0,52252.91,178.92,Business-focused transitional solution,234,1,2,2016-03-18 13:22:35,0,13,18,3
56.39,60.0,69646.35,218.61,Programmable uniform website,31,0,17,2016-03-16 20:19:01,1,20,16,3
85.84,38.0,70005.51,197.93,Advanced modular Local Area Network,403,0,60,2016-05-19 14:30:17,1,14,19,5
88.04,41.0,64828.0,236.87,User-friendly grid-enabled analyzer,136,0,42,2016-05-19 14:30:17,1,14,19,5
59.22,40.0,57594.7,244.91,Visionary maximized process improvement,435,1,20,2016-03-18 13:00:12,1,13,18,3
43.49,27.0,39193.45,131.29,Configurable tertiary capability,422,1,206,2016-03-23 21:06:51,0,21,23,3
65.65,30.0,58677.69,219.94,Synchronized systemic hierarchy,184,0,149,2016-01-05 20:58:42,0,20,5,1
50.63,31.0,61067.58,236.87,Optional multi-state hardware,9,1,81,2016-07-04 23:17:47,0,23,4,7
40.47,40.0,38067.08,140.46,Multi-layered user-facing paradigm,370,0,49,2016-02-17 20:22:49,1,20,17,2
40.17,25.0,59886.58,165.52,Team-oriented zero-defect initiative,91,1,95,2016-03-11 06:49:10,0,6,11,3
75.42,30.0,57877.15,111.94,Business-focused transitional solution,379,1,20,2016-05-08 10:25:08,0,10,8,5
76.58,33.0,44174.25,120.75,Focused coherent success,8,1,125,2016-06-07 01:29:06,0,1,7,6
41.73,28.0,71222.4,204.79,Monitored context-sensitive initiative,75,0,205,2016-05-30 18:08:19,0,18,30,5
76.81,28.0,71222.4,217.37,Reverse-engineered background Graphic Interface,479,0,9,2016-05-04 12:06:18,1,12,4,5
75.42,26.0,31265.75,140.83,Sharable reciprocal project,96,1,20,2016-05-08 10:25:08,0,10,8,5
88.04,44.0,48335.2,187.76,Up-sized executive moderator,357,0,5,2016-05-15 13:18:34,0,13,15,5
65.59,47.0,39031.89,195.69,Organic logistical adapter,464,1,128,2016-03-22 06:41:38,1,6,22,3
88.04,38.0,70582.55,206.98,Face-to-face mission-critical definition,436,1,57,2016-04-04 22:00:15,0,22,4,4
40.47,29.0,56113.37,112.72,Digitized zero-defect implementation,63,0,23,2016-06-03 01:14:41,0,1,3,6
73.72,36.0,32549.95,109.07,Grass-roots solution-oriented conglomeration,519,1,60,2016-04-27 04:28:17,1,4,27,4
80.99,26.0,44248.52,221.98,Visionary asymmetric encryption,305,1,107,2016-02-28 23:54:44,0,23,28,2
46.61,41.0,55121.65,126.39,Synergistic reciprocal attitude,136,0,80,2016-05-27 08:53:51,1,8,27,5
